Vernier Format 2
Untitled.cmbl 14. 04. 2025 11:00:58 ,
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²


1,55	0,324252	0,222162777778	0,886804320988
1,6	0,33653	0,270935	0,73192962963
1,65	0,352971	0,292743888889	0,635659876543
1,7	0,36556	0,318980555556	0,807624074074
1,75	0,383071	0,375660555556	0,952591975309
1,8	0,403673	0,425133888889	0,913614197531
1,85	0,426088	0,467039444444	0,853553703704
1,9	0,450351	0,507333888889	0,838434567901
1,95	0,476686	0,549779444444	0,850861728395
2	0,505284	0,593220555556	0,853862037037
2,05	0,536057	0,635922777778	0,844495061728
2,1	0,568972	0,677055	0,844775617284
2,15	0,603683	0,719537777778	0,859008024691
2,2	0,640829	0,76364	0,861305864198
2,25	0,680116	0,806582222222	0,847454938272
2,3	0,721562	0,848191666667	0,835741666667
2,35	0,764942	0,889463333333	0,835493518519
2,4	0,810446	0,931732222222	0,834274691358
2,45	0,858143	0,973666111111	0,809636111111
2,5	0,907826	1,01441166667	0,735585802469
2,55	0,959633	1,05179166667	0,565788888889
2,6	1,013668	1,07443666667	0,333576234568
2,65	1,067807	1,08227444444	0,154169444444
2,7	1,122101	1,08410222222	0,0754734567901
2,75	1,175738	1,09068666667	0,00218055555556
